Host_protein	Pathogen_Protein	Host_taxid	Pathogen_taxid	Pathogen_category
P62820	Q5ZWZ3	taxid:9606(human|Homo sapiens)	taxid:272624(legph|Legionella pneumophila subsp. pneumophila)	BACTERIA
P60953	A0A0H2ZTM2	taxid:9606(human|Homo sapiens)	taxid:243243(strain 104|Mycobacterium avium)	BACTERIA
P60953	A0A0H3A2T3	taxid:9606(human|Homo sapiens)	taxid:243243(strain 104|Mycobacterium avium)	BACTERIA
P60953	A0A0H3A1L5	taxid:9606(human|Homo sapiens)	taxid:243243(strain 104|Mycobacterium avium)	BACTERIA
P07339	P13128	taxid:9606(human|Homo sapiens)	taxid:169963(lismo|Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e))	BACTERIA
P08631	P03406	taxid:9606(human|Homo sapiens)	taxid:11686(hv1br|Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI))	VIRUS
P08631	P03406	taxid:9606(human|Homo sapiens)	taxid:11686(hv1br|Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI))	VIRUS
P19838	Q6VGT6	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
Q07955	Q6VGT1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
Q07812	P16778	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
Q07812	P16778	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
P78527	Q6VGT1	taxid:9606(human|Homo sapiens)	taxid:28285(ade05|Human adenovirus C serotype 5 (HAdV-5))	VIRUS
P51587	P25454	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
P39748	P16749	taxid:9606(human|Homo sapiens)	taxid:10360(hcmva|Human cytomegalovirus (strain AD169) (HHV-5))	VIRUS
P31749	Q83730	taxid:9606(human|Homo sapiens)	taxid:31530(myxvl|Myxoma virus (strain Lausanne))	VIRUS
P31749	Q83730	taxid:9606(human|Homo sapiens)	taxid:31530(myxvl|Myxoma virus (strain Lausanne))	VIRUS
P53618	P15917	taxid:9606(human|Homo sapiens)	taxid:1392(bacan|Bacillus anthracis)	BACTERIA
P42574	P17382	taxid:9606(human|Homo sapiens)	taxid:10585(hpv31|Human papillomavirus type 31)	VIRUS
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	Q8AZ57	taxid:9606(human|Homo sapiens)	taxid:11628(machu|machupo virus)	VIRUS
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
P02786	A5K736	taxid:9606(human|Homo sapiens)	taxid:126793(Plasmodium vivax (strain Salvador I)|Plasmodium vivax (strain Salvador I))	PROTOZOA
Q9Y4K3	P10221	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
Q9Y4K3	NP_044625	taxid:9606(human|Homo sapiens)	taxid:10298(hhv1|Human herpesvirus 1)	VIRUS
Q9Y4K3	P10221	taxid:9606(human|Homo sapiens)	taxid:10299(hhv11|Human herpesvirus 1 (strain 17) (HHV-1))	VIRUS
O14920	P03230	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
O14920	P71451	taxid:9606(human|Homo sapiens)	taxid:1334565(lismg|Listeria monocytogenes serotype 1/2a)	BACTERIA
O14920	P03230	taxid:9606(human|Homo sapiens)	taxid:10377(ebvb9|Epstein-Barr virus (strain B95-8) (HHV-4))	VIRUS
O00571	P68466	taxid:9606(human|Homo sapiens)	taxid:10254(vaccw|vaccinia virus (stra)	VIRUS
O00571	P68466	taxid:9606(human|Homo sapiens)	taxid:10254(vaccw|vaccinia virus (stra)	VIRUS
O00571	P68466	taxid:9606(human|Homo sapiens)	taxid:10254(vaccw|vaccinia virus (stra)	VIRUS
O00571	P68466	taxid:9606(human|Homo sapiens)	taxid:10254(vaccw|vaccinia virus (stra)	VIRUS
P07900	P25638	taxid:9606(human|Homo sapiens)	taxid:559292(yeast|Saccharomyces cerevisiae)	FUNGI
