Host_protein	Pathogen_Protein	Host_taxid	Pathogen_taxid
Q96ER9	P0C6X7-PRO_0000037314	taxid:9606	taxid:694009
Q96EY1	A0A060A633	taxid:9606	taxid:10407
Q96EY1	A0A060A633	taxid:9606	taxid:10407
Q96EY1	B4URF7	taxid:9606	taxid:381518
Q96EY1	B9UPF3	taxid:9606	taxid:10580
Q96EY1	G3CKS7	taxid:9606	taxid:10376
Q96EY1	O15393	taxid:9606	taxid:9606
Q96EY1	P02786	taxid:9606	taxid:9606
Q96EY1	P03129	taxid:9606	taxid:333760
Q96EY1	P03427	taxid:9606	taxid:381518
Q96EY1	P03428	taxid:9606	taxid:211044
Q96EY1	P03430	taxid:9606	taxid:381518
Q96EY1	P03452	taxid:9606	taxid:211044
Q96EY1	P03470	taxid:9606	taxid:381518
Q96EY1	P04488	taxid:9606	taxid:10299
Q96EY1	P05777	taxid:9606	taxid:381518
Q96EY1	P06461	taxid:9606	taxid:10600
Q96EY1	P06464	taxid:9606	taxid:10600
Q96EY1	P06464	taxid:9606	taxid:10600
Q96EY1	P06821	taxid:9606	taxid:211044
Q96EY1	P06932	taxid:9606	taxid:333923
Q96EY1	P06932	taxid:9606	taxid:333923
Q96EY1	P09958	taxid:9606	taxid:9606
Q96EY1	P0C6N0	taxid:9606	taxid:82830
Q96EY1	P0C6N0	taxid:9606	taxid:82830
Q96EY1	P0CK57	taxid:9606	taxid:82830
Q96EY1	P0DTC3	taxid:9606	taxid:2697049
Q96EY1	P0DTC3	taxid:9606	taxid:2697049
Q96EY1	P0DTC5	taxid:9606	taxid:2697049
Q96EY1	P0DTC5	taxid:9606	taxid:2697049
Q96EY1	P0DTD1-PRO_0000449632	taxid:9606	taxid:2697049
Q96EY1	P0DTD1-PRO_0000449632	taxid:9606	taxid:2697049
Q96EY1	P0DTD2	taxid:9606	taxid:2697049
Q96EY1	P10193	taxid:9606	taxid:10299
Q96EY1	P10193	taxid:9606	taxid:10299
Q96EY1	P15659	taxid:9606	taxid:381518
Q96EY1	P27487	taxid:9606	taxid:9606
Q96EY1	P36827	taxid:9606	taxid:333763
Q96EY1	Q01628	taxid:9606	taxid:9606
Q96EY1	Q1HVD3	taxid:9606	taxid:82830
Q96EY1	Q1K9H5	taxid:9606	taxid:381518
Q96EY1	Q69140	taxid:9606	taxid:82830
Q96EY1	Q86T26	taxid:9606	taxid:9606
Q96EY1	Q9WC28	taxid:9606	taxid:512346
Q96EY1	Q9WMX2-PRO_0000037551	taxid:9606	taxid:333284
Q96EY7	F5HC97	taxid:9606	taxid:295027
Q96EY7	P03427	taxid:9606	taxid:381518
Q96EY7	P03428	taxid:9606	taxid:211044
Q96EY7	P03431	taxid:9606	taxid:211044
Q96EY7	P03433	taxid:9606	taxid:211044
Q96EY7	P03470	taxid:9606	taxid:381518
Q96EY7	P03496	taxid:9606	taxid:211044
Q96EY7	P03508	taxid:9606	taxid:211044
Q96EY7	P0DTD1-PRO_0000449630	taxid:9606	taxid:2697049
Q96EY7	P15682	taxid:9606	taxid:381518
Q96EY7	P17383	taxid:9606	taxid:10585
Q96EY7	P17388	taxid:9606	taxid:10585
Q96EY7	P19712-PRO_0000038050	taxid:9606	taxid:11097
Q96EY7	P29991-PRO_0000037936	taxid:9606	taxid:31635
Q96EY7	Q05323	taxid:9606	taxid:128952
Q96EY7	Q1K9H2	taxid:9606	taxid:381518
Q96EY8	Q20MH3	taxid:9606	taxid:381518
Q96F15	Q9WB91	taxid:9606	taxid:11706
Q96FJ2	K9N4V7	taxid:9606	taxid:1263720
Q96FJ2	P03410	taxid:9606	taxid:11909
Q96FJ2	P03410	taxid:9606	taxid:11909
Q96FJ2	P03508	taxid:9606	taxid:211044
