Host_protein	Pathogen_Protein	Host_taxid	Pathogen_taxid
Q96EY1	P03129	9606	333760
Q99683	P69720	9606	11676
Q99683	P69721	9606	11676
Q99683	P69722	9606	11676
Q99683	P69723	9606	11676
Q96FJ2	P69258	9606	381517
Q96FJ2	P03508	9606	211044
Q99816	P0C706	9606	10376
Q99816	P18095	9606	11709
Q99816	Q02843	9606	11723
Q99816	Q3KSS4	9606	10376
P61604	P27958	9606	11108
P49368	P30119	9606	10377
Q99942	P03433	9606	211044
P49327	P30119	9606	10377
P31689	P30119	9606	10377
P60174	P27958	9606	11108
P40227	P30119	9606	10377
P55209	P27958	9606	11108
P48643	P30119	9606	10377
P43686	P30119	9606	10377
P29966	P27958	9606	11108
P46379	P30119	9606	10377
Q9NPA8	Q99AU3	9606	88776
Q14318	P27958	9606	11108
P80723	P27958	9606	11108
P68371	P27958	9606	11108
P62937	P27958	9606	11108
Q9HC07	P30119	9606	10377
P50402	P30119	9606	10377
Q06830	P27958	9606	11108
Q9NZM3	Q99IB8	9606	356411
Q00325	P27958	9606	11108
Q04941	P27958	9606	11108
Q15717	P27958	9606	11108
P49721	P30119	9606	10377
Q562R1	P27958	9606	11108
Q9P0L0	P27958	9606	11108
P62136	P30119	9606	10377
P60900	P30119	9606	10377
Q96FZ7	P03433	9606	211044
P27986	P03496	9606	211044
Q63ZY3	P30119	9606	10377
Q96EY1	P30119	9606	10377
Q99700	P30119	9606	10377
Q9Y230	P30119	9606	10377
Q9UNM6	P30119	9606	10377
Q9Y5L4	P30119	9606	10377
Q9Y6N5	P30119	9606	10377
Q9Y6C9	P30119	9606	10377
Q9BSY4	Q2PJP1	9606	363744
Q9BSY4	Q6DP94	9606	644788
Q96IK5	P03466	9606	211044
Q96IK5	P06827	9606	381517
Q96T21	P03433	9606	211044
Q9BWH2	P29991	9606	31635
Q9BXR0	P03433	9606	211044
Q96RT1	P03496	9606	211044
Q9BYX4	P03418	9606	11259
Q9BYX4	P69284	9606	11195
Q96MW5	P03508	9606	211044
P62269	P36313	9606	10299
P62136	P36313	9606	10299
P62829	P36313	9606	10298
P62805	P36313	9606	10298
Q71U36	P36313	9606	10298
